department,municipality_id,municipality,year,month,population,value
Potosí,51302,Acacio,2015,1,Numero de mujeres con muestras de PAP tomadas,0
La Paz,20201,Achacachi,2015,1,Numero de mujeres con muestras de PAP tomadas,0
La Paz,20104,Achocalla,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Cochabamba,30201,Aiquile,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Chuquisaca,10404,Alcala,2015,1,Numero de mujeres con muestras de PAP tomadas,0
La Paz,22002,Alto Beni,2015,1,Numero de mujeres con muestras de PAP tomadas,0
La Paz,20202,Ancoraimes,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Oruro,40603,Antequera,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Cochabamba,30402,Anzaldo,2015,1,Numero de mujeres con muestras de PAP tomadas,0
La Paz,20701,Apolo,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Potosí,51301,Arampampa,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Cochabamba,30501,Arani,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Cochabamba,30403,Arbieto,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Cochabamba,30601,Arque,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Santa Cruz,71501,Ascencion De Guarayos,2015,1,Numero de mujeres con muestras de PAP tomadas,3
Potosí,50802,Atocha,2015,1,Numero de mujeres con muestras de PAP tomadas,0
La Paz,21303,Ayo Ayo,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Cochabamba,30301,Ayopaya (v. De Independencia),2015,1,Numero de mujeres con muestras de PAP tomadas,1
Chuquisaca,10201,Azurduy,2015,1,Numero de mujeres con muestras de PAP tomadas,0
La Paz,21203,Batallas,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Pando,90104,Bella Flor,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Tarija,60202,Bermejo,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Potosí,50301,Betanzos,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Santa Cruz,70707,Boyuibe,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Santa Cruz,70401,Buena Vista,2015,1,Numero de mujeres con muestras de PAP tomadas,1
Santa Cruz,70703,Cabezas,2015,1,Numero de mujeres con muestras de PAP tomadas,0
La Paz,20905,Cairoma,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Potosí,51102,"Caiza ""d""",2015,1,Numero de mujeres con muestras de PAP tomadas,0
La Paz,21003,Cajuata,2015,1,Numero de mujeres con muestras de PAP tomadas,0
La Paz,20303,Calacoto,2015,1,Numero de mujeres con muestras de PAP tomadas,0
La Paz,21304,Calamarca,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Chuquisaca,10701,Camargo,2015,1,Numero de mujeres con muestras de PAP tomadas,1
Chuquisaca,10901,Camataqui (c. Villa Abecia),2015,1,Numero de mujeres con muestras de PAP tomadas,0
Santa Cruz,70706,Camiri,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Cochabamba,30701,Capinota,2015,1,Numero de mujeres con muestras de PAP tomadas,4
La Paz,20302,Caquiaviri,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Oruro,40102,Caracollo,2015,1,Numero de mujeres con muestras de PAP tomadas,0
La Paz,22001,Caranavi,2015,1,Numero de mujeres con muestras de PAP tomadas,1
Oruro,41503,Carangas,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Potosí,50702,Caripuyo,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Santa Cruz,71403,Carmen Rivero Torrez,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Oruro,40201,Challapata,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Potosí,50302,Chaqui,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Santa Cruz,70702,Charagua,2015,1,Numero de mujeres con muestras de PAP tomadas,1
Potosí,50202,Chayanta,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Cochabamba,31204,Chimore,2015,1,Numero de mujeres con muestras de PAP tomadas,1
La Paz,20203,Chua Cocani,2015,1,Numero de mujeres con muestras de PAP tomadas,0
La Paz,21101,Chulumani (v. De La Libertad),2015,1,Numero de mujeres con muestras de PAP tomadas,0
La Paz,20501,Chuma,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Potosí,50204,Chuquihuta Ayllu Jucumani,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Potosí,51103,Ckochas,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Cochabamba,30801,Cliza,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Pando,90101,Cobija,2015,1,Numero de mujeres con muestras de PAP tomadas,1
Cochabamba,30303,Cocapata,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Cochabamba,30101,Cochabamba,2015,1,Numero de mujeres con muestras de PAP tomadas,54
Cochabamba,30905,Colcapirhua,2015,1,Numero de mujeres con muestras de PAP tomadas,0
La Paz,21307,Collana,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Cochabamba,31002,Colomi,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Santa Cruz,70603,Colpa Belgica,2015,1,Numero de mujeres con muestras de PAP tomadas,0
Potosí,50401,Colquechaca,2015,1,Numero de mujeres con muestras de PAP tomadas,0
