department,municipality_id,municipality,year,month,population,value
Potosí,51302,Acacio,2011,1,EGRESOS CANTIDAD / MASCULINO,0
La Paz,20201,Achacachi,2011,1,EGRESOS CANTIDAD / MASCULINO,15
La Paz,20104,Achocalla,2011,1,EGRESOS CANTIDAD / MASCULINO,0
Cochabamba,30201,Aiquile,2011,1,EGRESOS CANTIDAD / MASCULINO,29
Chuquisaca,10404,Alcala,2011,1,EGRESOS CANTIDAD / MASCULINO,0
La Paz,22002,Alto Beni,2011,1,EGRESOS CANTIDAD / MASCULINO,0
La Paz,20202,Ancoraimes,2011,1,EGRESOS CANTIDAD / MASCULINO,1
Cochabamba,30402,Anzaldo,2011,1,EGRESOS CANTIDAD / MASCULINO,2
La Paz,20701,Apolo,2011,1,EGRESOS CANTIDAD / MASCULINO,2
Cochabamba,30501,Arani,2011,1,EGRESOS CANTIDAD / MASCULINO,0
Cochabamba,30403,Arbieto,2011,1,EGRESOS CANTIDAD / MASCULINO,0
Santa Cruz,71501,Ascencion De Guarayos,2011,1,EGRESOS CANTIDAD / MASCULINO,46
Potosí,50802,Atocha,2011,1,EGRESOS CANTIDAD / MASCULINO,31
La Paz,20502,Ayata,2011,1,EGRESOS CANTIDAD / MASCULINO,1
La Paz,21303,Ayo Ayo,2011,1,EGRESOS CANTIDAD / MASCULINO,0
Cochabamba,30301,Ayopaya (v. De Independencia),2011,1,EGRESOS CANTIDAD / MASCULINO,9
Chuquisaca,10201,Azurduy,2011,1,EGRESOS CANTIDAD / MASCULINO,4
La Paz,21203,Batallas,2011,1,EGRESOS CANTIDAD / MASCULINO,3
Beni,80802,Baures,2011,1,EGRESOS CANTIDAD / MASCULINO,7
Oruro,41202,Belen De Andamarca,2011,1,EGRESOS CANTIDAD / MASCULINO,1
Tarija,60202,Bermejo,2011,1,EGRESOS CANTIDAD / MASCULINO,72
Potosí,50301,Betanzos,2011,1,EGRESOS CANTIDAD / MASCULINO,5
Cochabamba,31501,Bolivar,2011,1,EGRESOS CANTIDAD / MASCULINO,0
Santa Cruz,70707,Boyuibe,2011,1,EGRESOS CANTIDAD / MASCULINO,10
Santa Cruz,70401,Buena Vista,2011,1,EGRESOS CANTIDAD / MASCULINO,10
Santa Cruz,70703,Cabezas,2011,1,EGRESOS CANTIDAD / MASCULINO,8
La Paz,20905,Cairoma,2011,1,EGRESOS CANTIDAD / MASCULINO,0
Potosí,51102,"Caiza ""d""",2011,1,EGRESOS CANTIDAD / MASCULINO,1
La Paz,21003,Cajuata,2011,1,EGRESOS CANTIDAD / MASCULINO,0
La Paz,21304,Calamarca,2011,1,EGRESOS CANTIDAD / MASCULINO,0
Chuquisaca,10701,Camargo,2011,1,EGRESOS CANTIDAD / MASCULINO,40
Chuquisaca,10901,Camataqui (c. Villa Abecia),2011,1,EGRESOS CANTIDAD / MASCULINO,1
Santa Cruz,70706,Camiri,2011,1,EGRESOS CANTIDAD / MASCULINO,173
Cochabamba,30701,Capinota,2011,1,EGRESOS CANTIDAD / MASCULINO,9
La Paz,20302,Caquiaviri,2011,1,EGRESOS CANTIDAD / MASCULINO,0
Oruro,40102,Caracollo,2011,1,EGRESOS CANTIDAD / MASCULINO,1
La Paz,22001,Caranavi,2011,1,EGRESOS CANTIDAD / MASCULINO,33
Tarija,60302,Carapari,2011,1,EGRESOS CANTIDAD / MASCULINO,4
Santa Cruz,71403,Carmen Rivero Torrez,2011,1,EGRESOS CANTIDAD / MASCULINO,2
Oruro,40201,Challapata,2011,1,EGRESOS CANTIDAD / MASCULINO,19
Potosí,50302,Chaqui,2011,1,EGRESOS CANTIDAD / MASCULINO,0
Santa Cruz,70702,Charagua,2011,1,EGRESOS CANTIDAD / MASCULINO,62
La Paz,20305,Charaña,2011,1,EGRESOS CANTIDAD / MASCULINO,0
